16;15.261;23.416;139.990;23.047 
17;15.453;17.798;34.430;3.304 
18;15.385;17.459;36.231;2.883 
19;15.298;17.745;26.561;2.091 
20;15.505;16.697;21.605;0.891 
21;15.428;17.241;27.056;1.921 
22;15.238;17.471;25.300;1.805 
23;15.295;17.231;32.603;2.430 
24;15.529;18.542;34.833;3.074 
25;15.086;16.538;27.675;1.650 
26;15.249;17.281;38.406;2.821 
27;15.235;16.693;22.765;1.070 
28;15.380;16.855;23.027;1.311 
29;15.112;16.943;26.718;1.866 
30;15.354;17.943;29.108;2.463 
31;15.389;16.907;24.745;1.164 
32;15.495;17.248;27.221;1.674 
33;15.421;17.436;45.485;3.379 
34;15.433;16.711;19.258;0.811 
35;15.330;16.977;27.246;1.464 
36;15.495;16.608;18.204;0.592 
