16;161.251;162.151;163.081;0.433 
17;161.261;162.208;163.217;0.455 
18;161.264;162.237;163.646;0.460 
19;161.348;162.147;163.359;0.422 
20;161.219;162.218;175.209;1.160 
21;161.262;162.110;163.208;0.406 
22;161.251;162.323;163.128;0.428 
23;161.224;162.186;163.255;0.467 
24;161.344;162.266;163.145;0.406 
25;161.266;162.149;163.032;0.473 
26;161.255;162.534;191.781;2.438 
27;161.312;162.278;176.492;1.240 
28;161.241;162.240;163.213;0.456 
29;161.291;162.385;185.787;1.961 
30;161.237;162.267;163.203;0.436 
31;161.198;162.170;163.309;0.461 
32;161.312;162.346;167.905;0.621 
33;161.379;162.302;163.172;0.454 
34;161.337;162.356;163.426;0.444 
35;161.478;162.507;163.394;0.451 
36;161.323;162.330;163.330;0.450 
37;161.374;162.245;163.846;0.447 
38;161.257;162.230;164.145;0.459 
39;161.309;162.240;163.222;0.427 
40;161.236;162.244;167.768;0.605 
41;161.275;162.256;163.472;0.440 
42;161.306;162.307;163.118;0.393 
43;161.400;162.380;163.204;0.400 
44;161.273;162.492;183.072;1.777 
45;161.365;162.413;163.556;0.420 
46;161.384;162.407;167.651;0.624 
47;161.275;162.479;183.785;2.055 
48;161.263;162.415;171.479;0.962 
49;161.243;162.346;163.180;0.406 
50;161.320;162.352;163.734;0.464 
51;161.319;162.494;163.966;0.520 
52;161.314;162.453;163.733;0.404 
53;161.306;162.368;163.630;0.441 
54;161.239;162.387;163.087;0.422 
55;161.327;162.442;164.965;0.460 
56;161.310;162.414;163.207;0.387 
57;161.428;162.464;163.250;0.341 
58;161.280;162.449;170.638;0.792 
59;161.234;162.393;166.463;0.542 
60;161.243;162.413;163.222;0.444 
61;161.313;162.314;163.576;0.451 
62;161.342;162.431;163.148;0.391 
63;161.411;162.500;168.676;0.628 
64;161.333;162.464;163.325;0.391 
65;161.392;162.514;163.491;0.421 
66;161.359;162.498;163.119;0.426 
67;161.336;162.463;163.200;0.415 
68;161.394;162.563;170.984;0.793 
69;161.295;162.468;163.182;0.403 
70;161.243;162.482;163.191;0.391 
71;161.279;162.453;163.471;0.408 
72;161.329;162.478;163.218;0.409 
73;161.376;162.468;163.182;0.393 
74;161.294;162.432;166.116;0.507 
75;161.341;162.448;163.116;0.410 
76;161.264;162.510;163.064;0.386 
77;161.673;162.541;163.194;0.382 
78;161.328;162.603;163.386;0.437 
79;161.267;162.591;167.601;0.582 
80;161.377;162.536;163.097;0.357 
81;161.286;162.526;163.089;0.419 
82;161.467;162.572;163.300;0.480 
83;161.253;162.399;163.274;0.557 
84;161.312;162.499;163.078;0.427 
85;161.335;162.407;163.627;0.457 
86;161.280;162.561;168.902;0.937 
87;161.246;162.445;163.152;0.464 
88;161.338;162.571;163.195;0.365 
89;161.352;162.562;163.143;0.375 
90;161.384;162.631;166.346;0.464 
91;161.545;162.613;163.168;0.325 
92;161.467;162.630;163.152;0.363 
93;161.268;162.568;163.200;0.424 
94;161.336;162.672;163.277;0.347 
95;161.285;162.639;163.532;0.457 
96;161.320;162.568;163.144;0.374 
97;161.286;162.579;163.589;0.416 
98;161.438;162.612;163.316;0.349 
99;161.459;162.609;163.270;0.369 
100;161.246;162.519;163.174;0.410 
101;161.348;162.641;163.118;0.356 
102;161.304;162.621;163.241;0.417 
103;161.471;162.684;163.195;0.313 
104;161.273;162.578;163.120;0.385 
105;161.350;162.702;163.161;0.320 
106;161.393;162.641;163.394;0.364 
107;161.282;162.648;163.154;0.342 
108;161.338;162.639;163.266;0.352 
109;161.335;162.771;181.714;1.601 
110;161.462;162.636;163.294;0.377 
111;161.423;162.783;173.717;0.956 
112;161.656;162.840;163.391;0.338 
113;161.357;162.864;177.322;1.249 
114;161.603;162.876;163.355;0.348 
115;161.448;162.633;163.276;0.348 
116;161.365;162.641;164.107;0.403 
117;161.393;162.615;163.151;0.349 
118;161.304;162.580;163.213;0.399 
119;161.473;162.631;163.240;0.364 
120;161.325;162.590;163.647;0.441 
121;161.548;162.702;163.179;0.333 
122;161.272;162.694;168.722;0.634 
123;161.477;163.068;196.174;2.736 
124;161.380;162.707;163.335;0.386 
125;161.431;162.643;163.291;0.377 
126;161.480;162.756;169.738;0.693 
127;161.516;162.654;163.653;0.429 
128;161.459;162.655;166.215;0.484 
129;161.265;162.636;163.210;0.395 
130;161.421;162.762;163.496;0.383 
131;161.449;162.770;163.758;0.436 
132;161.307;162.853;163.565;0.404 
133;161.400;162.873;175.023;1.235 
134;161.424;162.763;178.781;1.360 
135;161.491;162.880;192.300;2.444 
136;161.349;162.607;163.293;0.397 
137;161.470;162.623;163.168;0.377 
138;161.431;162.663;163.372;0.368 
139;161.434;162.643;168.306;0.627 
140;161.274;162.592;163.387;0.495 
141;161.396;162.541;163.270;0.458 
142;161.352;162.684;163.219;0.363 
143;161.256;162.662;163.379;0.425 
144;161.252;162.557;163.272;0.436 
145;161.341;162.574;163.304;0.453 
146;161.425;162.546;163.496;0.467 
147;161.426;162.740;163.482;0.442 
148;161.294;162.640;163.201;0.399 
149;161.424;162.724;163.577;0.397 
150;161.407;162.598;163.264;0.389 
151;161.423;162.579;163.516;0.403 
152;161.456;162.576;163.122;0.410 
153;161.334;162.638;163.332;0.406 
154;161.272;162.639;163.240;0.371 
155;161.300;162.628;163.192;0.393 
156;161.404;162.606;163.243;0.435 
157;161.373;162.542;163.337;0.438 
158;161.394;162.622;163.282;0.419 
159;161.492;162.759;163.367;0.399 
160;161.383;162.744;164.090;0.477 
161;161.429;162.760;163.854;0.435 
162;161.315;162.542;163.400;0.419 
163;161.475;162.514;163.315;0.434 
